level	kind	load_ips	load_mibs	comp_ratio	peak_disk_mib	drain_ips	drain_mibs	load_p99_us	drain_p99_us
1	uniform	5879141	3683.7	141.9x	4.4	2980371	1867.4	1819.9	1977.5
2	uniform	5451557	3415.7	142.0x	4.4	2707994	1696.7	2515.0	2363.4
3	uniform	3385736	2121.4	141.9x	4.4	2703097	1693.7	3014.0	3019.4
4	uniform	4218620	2643.2	142.0x	4.4	3024597	1895.1	3427.9	2151.8
5	uniform	3536106	2215.6	141.7x	4.4	2990810	1873.9	3071.2	2116.4
6	uniform	1063785	666.5	182.9x	3.4	2632043	1649.1	7485.1	2543.6
7	uniform	959813	601.4	182.9x	3.4	2942601	1843.7	7594.6	2943.1
8	uniform	667761	418.4	182.9x	3.4	2413872	1512.4	10620.1	2747.8
9	uniform	724538	454.0	182.9x	3.4	2987129	1871.6	13149.9	2328.7
10	uniform	644871	404.1	182.9x	3.4	3095126	1939.3	11061.9	2168.3
11	uniform	580439	363.7	182.9x	3.4	2652750	1662.1	11693.5	2465.5
12	uniform	521931	327.0	182.9x	3.4	3060798	1917.8	12573.5	2400.0
13	uniform	569608	356.9	182.9x	3.4	2893012	1812.7	12720.0	2421.0
14	uniform	453721	284.3	182.9x	3.4	2914383	1826.0	17450.3	2880.3
15	uniform	535304	335.4	182.9x	3.4	2615423	1638.7	11189.6	3862.9
16	uniform	353477	221.5	358.3x	1.7	2985553	1870.6	22053.5	2388.8
17	uniform	350770	219.8	356.2x	1.8	2918181	1828.4	18954.1	2123.8
18	uniform	208744	130.8	358.9x	1.7	3064986	1920.4	30731.3	2370.2
19	uniform	151840	95.1	353.1x	1.8	2888981	1810.1	45786.7	2422.4
20	uniform	151714	95.1	353.1x	1.8	3127516	1959.6	44320.6	2218.2
21	uniform	137456	86.1	347.4x	1.8	2950527	1848.7	48838.7	1972.1
22	uniform	660	0.4	319.1x	2.0	3188970	1998.1	11841375.9	1710.9
1	text	800657	501.7	3.2x	194.1	1605735	1006.1	7392.3	4560.5
2	text	600381	376.2	3.2x	197.6	1447471	906.9	10944.2	5445.9
3	text	401710	251.7	3.1x	204.8	1350496	846.2	15999.6	6277.5
4	text	321891	201.7	3.1x	203.8	1431118	896.7	22885.4	5193.5
5	text	169255	106.0	3.2x	198.7	936534	586.8	40473.2	9326.6
6	text	150262	94.1	3.2x	193.7	1318703	826.3	51396.1	4937.1
7	text	100292	62.8	3.3x	192.0	1042291	653.1	66170.3	10327.4
8	text	100103	62.7	3.3x	189.2	1379682	864.5	76311.6	4570.0
9	text	105252	65.9	3.3x	189.2	1397491	875.6	53990.7	6000.8
10	text	73988	46.4	3.4x	186.3	1505728	943.4	105456.5	3667.3
11	text	43925	27.5	3.4x	183.7	1306276	818.5	136276.2	4822.5
12	text	38606	24.2	3.4x	183.6	1393908	873.4	186040.6	4352.7
13	text	12564	7.9	3.5x	180.1	1264650	792.4	586596.8	7128.5
14	text	9977	6.3	3.5x	180.4	1405494	880.6	761779.1	6010.6
15	text	6537	4.1	3.5x	180.3	680802	426.6	1663125.7	21293.1
16	text	4108	2.6	3.9x	161.9	1550027	971.2	2522112.3	4685.0
17	text	3947	2.5	3.9x	162.0	1403331	879.3	1935443.8	5112.7
18	text	4001	2.5	3.9x	158.7	1690843	1059.4	1858833.2	3431.6
19	text	3927	2.5	3.9x	158.8	1607437	1007.2	2223073.2	5334.6
20	text	3993	2.5	3.9x	158.8	1536772	962.9	1665674.8	4850.6
21	text	3312	2.1	3.9x	158.8	1428043	894.8	2428411.4	8021.2
22	text	3586	2.2	3.9x	158.8	1609753	1008.6	2134921.6	4403.2
1	json	701053	439.3	3.6x	173.3	1512585	947.7	9345.2	4740.3
2	json	516641	323.7	3.5x	177.1	1458116	913.6	13719.0	5328.2
3	json	376855	236.1	3.4x	186.2	1328151	832.2	18712.6	5963.0
4	json	226486	141.9	3.4x	186.9	878796	550.6	47303.5	15170.2
5	json	131685	82.5	3.5x	180.2	773098	484.4	65426.2	11092.5
6	json	110092	69.0	3.6x	175.6	852158	533.9	137770.6	9779.6
7	json	108203	67.8	3.6x	174.1	1350766	846.3	67442.9	5797.5
8	json	96840	60.7	3.6x	173.1	1320866	827.6	70208.4	6340.8
9	json	93451	58.6	3.6x	173.2	1398291	876.1	65359.6	6979.5
10	json	73765	46.2	3.7x	171.4	1199276	751.4	86639.0	8367.1
11	json	40664	25.5	3.7x	169.5	849396	532.2	175278.6	11836.3
12	json	33468	21.0	3.7x	169.5	807626	506.0	220755.8	15927.2
13	json	9845	6.2	3.8x	165.1	1613674	1011.1	844883.7	4672.1
14	json	12598	7.9	3.8x	163.6	1649099	1033.3	574417.9	3759.2
15	json	10611	6.6	3.8x	163.2	1428008	894.7	708032.2	6887.9
16	json	5603	3.5	4.3x	147.2	1573869	986.1	1381623.8	4078.3
17	json	5012	3.1	4.3x	147.2	1337397	838.0	3334803.3	5011.9
18	json	4616	2.9	4.4x	142.7	1848751	1158.4	1692158.2	3144.2
19	json	4839	3.0	4.4x	142.7	1729078	1083.4	1419783.8	3354.5
